>850hPa	850-500hPa	500-300hPa	300-100hPa	<100hPa
54401 40.77 114.92 2	54401 40.77 114.92 4	54401 40.77 114.92 4	54401 40.77 114.92 6	54401 40.77 114.92 0
54511 39.80 116.47 1	54511 39.80 116.47 2	54511 39.80 116.47 2	54511 39.80 116.47 3	54511 39.80 116.47 0
54539 39.43 118.88 3	54539 39.43 118.88 7	54539 39.43 118.88 1	54539 39.43 118.88 8	54539 39.43 118.88 0
54662 38.90 121.63 2	54662 38.90 121.63 13	54662 38.90 121.63 9	54662 38.90 121.63 9	54662 38.90 121.63 0
54727 36.68 117.55 4	54727 36.68 117.55 10	54727 36.68 117.55 13	54727 36.68 117.55 5	54727 36.68 117.55 0
54778 37.17 122.48 5	54778 37.17 122.48 10	54778 37.17 122.48 5	54778 37.17 122.48 5	54778 37.17 122.48 0
54857 36.07 120.33 4	54857 36.07 120.33 7	54857 36.07 120.33 7	54857 36.07 120.33 8	54857 36.07 120.33 0
55299 31.48 92.07 0	55299 31.48 92.07 0	55299 31.48 92.07 3	55299 31.48 92.07 5	55299 31.48 92.07 0
55591 29.67 91.13 0	55591 29.67 91.13 2	55591 29.67 91.13 7	55591 29.67 91.13 5	55591 29.67 91.13 0
55664 28.63 87.08 0	55664 28.63 87.08 1	55664 28.63 87.08 6	55664 28.63 87.08 5	55664 28.63 87.08 0
56004 34.22 92.43 0	56004 34.22 92.43 0	56004 34.22 92.43 9	56004 34.22 92.43 5	56004 34.22 92.43 0
56029 33.00 96.97 0	56029 33.00 96.97 0	56029 33.00 96.97 5	56029 33.00 96.97 5	56029 33.00 96.97 0
56046 33.75 99.65 0	56046 33.75 99.65 1	56046 33.75 99.65 5	56046 33.75 99.65 6	56046 33.75 99.65 0
56080 35.00 102.90 0	56080 35.00 102.90 2	56080 35.00 102.90 3	56080 35.00 102.90 6	56080 35.00 102.90 0
56096 33.40 104.92 0	56096 33.40 104.92 2	56096 33.40 104.92 5	56096 33.40 104.92 5	56096 33.40 104.92 0
56137 31.15 97.17 0	56137 31.15 97.17 1	56137 31.15 97.17 4	56137 31.15 97.17 5	56137 31.15 97.17 0
56146 31.62 100.00 0	56146 31.62 100.00 0	56146 31.62 100.00 8	56146 31.62 100.00 7	56146 31.62 100.00 0
56173 32.80 102.55 0	56173 32.80 102.55 1	56173 32.80 102.55 5	56173 32.80 102.55 5	56173 32.80 102.55 0
56187 30.75 103.87 1	56187 30.75 103.87 4	56187 30.75 103.87 9	56187 30.75 103.87 3	56187 30.75 103.87 0
56247 30.00 99.10 0	56247 30.00 99.10 1	56247 30.00 99.10 5	56247 30.00 99.10 6	56247 30.00 99.10 0
56312 29.67 94.33 0	56312 29.67 94.33 0	56312 29.67 94.33 5	56312 29.67 94.33 4	56312 29.67 94.33 0
56492 28.80 104.60 1	56492 28.80 104.60 5	56492 28.80 104.60 4	56492 28.80 104.60 4	56492 28.80 104.60 0
56571 27.90 102.27 0	56571 27.90 102.27 2	56571 27.90 102.27 5	56571 27.90 102.27 5	56571 27.90 102.27 0
56651 26.85 100.22 0	56651 26.85 100.22 2	56651 26.85 100.22 3	56651 26.85 100.22 5	56651 26.85 100.22 0
56691 26.87 104.28 0	56691 26.87 104.28 2	56691 26.87 104.28 6	56691 26.87 104.28 8	56691 26.87 104.28 0
56739 25.02 98.50 0	56739 25.02 98.50 2	56739 25.02 98.50 3	56739 25.02 98.50 6	56739 25.02 98.50 0
56778 25.00 102.65 0	56778 25.00 102.65 2	56778 25.00 102.65 8	56778 25.00 102.65 7	56778 25.00 102.65 0
57083 34.72 113.65 3	57083 34.72 113.65 5	57083 34.72 113.65 6	57083 34.72 113.65 5	57083 34.72 113.65 0
57127 33.07 107.03 3	57127 33.07 107.03 3	57127 33.07 107.03 6	57127 33.07 107.03 6	57127 33.07 107.03 0
57131 34.43 108.97 1	57131 34.43 108.97 4	57131 34.43 108.97 6	57131 34.43 108.97 6	57131 34.43 108.97 0
57178 33.03 112.58 1	57178 33.03 112.58 6	57178 33.03 112.58 8	57178 33.03 112.58 5	57178 33.03 112.58 0
57245 32.72 109.03 1	57245 32.72 109.03 6	57245 32.72 109.03 5	57245 32.72 109.03 4	57245 32.72 109.03 0
57328 31.20 107.50 2	57328 31.20 107.50 4	57328 31.20 107.50 9	57328 31.20 107.50 6	57328 31.20 107.50 0
57447 30.28 109.47 1	57447 30.28 109.47 5	57447 30.28 109.47 8	57447 30.28 109.47 6	57447 30.28 109.47 0
57461 30.70 111.30 2	57461 30.70 111.30 2	57461 30.70 111.30 2	57461 30.70 111.30 3	57461 30.70 111.30 0
57494 30.60 114.05 1	57494 30.60 114.05 11	57494 30.60 114.05 5	57494 30.60 114.05 6	57494 30.60 114.05 0
57516 29.58 106.47 2	57516 29.58 106.47 3	57516 29.58 106.47 4	57516 29.58 106.47 5	57516 29.58 106.47 0
57679 28.20 113.08 1	57679 28.20 113.08 8	57679 28.20 113.08 11	57679 28.20 113.08 8	57679 28.20 113.08 0
57816 26.58 106.73 1	57816 26.58 106.73 5	57816 26.58 106.73 11	57816 26.58 106.73 6	57816 26.58 106.73 0
57957 25.32 110.30 1	57957 25.32 110.30 14	57957 25.32 110.30 7	57957 25.32 110.30 5	57957 25.32 110.30 0
57972 25.80 113.03 2	57972 25.80 113.03 9	57972 25.80 113.03 8	57972 25.80 113.03 4	57972 25.80 113.03 0
57993 25.87 115.00 2	57993 25.87 115.00 7	57993 25.87 115.00 7	57993 25.87 115.00 3	57993 25.87 115.00 0
58027 34.28 117.15 3	58027 34.28 117.15 4	58027 34.28 117.15 6	58027 34.28 117.15 5	58027 34.28 117.15 0
58150 33.77 120.25 5	58150 33.77 120.25 6	58150 33.77 120.25 5	58150 33.77 120.25 5	58150 33.77 120.25 0
58203 32.90 115.83 3	58203 32.90 115.83 4	58203 32.90 115.83 3	58203 32.90 115.83 4	58203 32.90 115.83 0
58238 31.93 118.90 4	58238 31.93 118.90 6	58238 31.93 118.90 7	58238 31.93 118.90 6	58238 31.93 118.90 0
58362 31.40 121.45 4	58362 31.40 121.45 12	58362 31.40 121.45 7	58362 31.40 121.45 5	58362 31.40 121.45 0
58424 30.53 117.05 3	58424 30.53 117.05 7	58424 30.53 117.05 10	58424 30.53 117.05 7	58424 30.53 117.05 0
58457 30.23 120.17 5	58457 30.23 120.17 9	58457 30.23 120.17 7	58457 30.23 120.17 6	58457 30.23 120.17 0
58606 28.60 115.92 5	58606 28.60 115.92 8	58606 28.60 115.92 10	58606 28.60 115.92 6	58606 28.60 115.92 0
58633 29.00 118.90 5	58633 29.00 118.90 7	58633 29.00 118.90 9	58633 29.00 118.90 5	58633 29.00 118.90 0
58665 28.62 121.42 6	58665 28.62 121.42 7	58665 28.62 121.42 10	58665 28.62 121.42 6	58665 28.62 121.42 0
58725 27.33 117.47 3	58725 27.33 117.47 6	58725 27.33 117.47 10	58725 27.33 117.47 5	58725 27.33 117.47 0
58847 26.08 119.28 2	58847 26.08 119.28 2	58847 26.08 119.28 2	58847 26.08 119.28 3	58847 26.08 119.28 0
59023 24.70 108.03 1	59023 24.70 108.03 9	59023 24.70 108.03 6	59023 24.70 108.03 5	59023 24.70 108.03 0
59134 24.48 118.07 2	59134 24.48 118.07 9	59134 24.48 118.07 8	59134 24.48 118.07 9	59134 24.48 118.07 0
59211 23.90 106.60 1	59211 23.90 106.60 8	59211 23.90 106.60 10	59211 23.90 106.60 5	59211 23.90 106.60 0
59280 23.70 113.08 2	59280 23.70 113.08 4	59280 23.70 113.08 6	59280 23.70 113.08 6	59280 23.70 113.08 0
59293 23.78 114.73 1	59293 23.78 114.73 7	59293 23.78 114.73 7	59293 23.78 114.73 3	59293 23.78 114.73 0
59316 23.40 116.68 2	59316 23.40 116.68 8	59316 23.40 116.68 8	59316 23.40 116.68 4	59316 23.40 116.68 0
